配置,模型,指标,阶段,均值
关闭重启与下界保护,三个 GP 表达式均值,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.6307993476736558
关闭重启与下界保护,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 1–250 轮,0.2601451835596963
关闭重启与下界保护,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.004633637315354224
关闭重启与下界保护,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.004128861608041084
关闭重启与下界保护,三个 GP 表达式均值,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.0027985842113737417
关闭重启与下界保护,三个 GP 表达式均值,更新树输出饱和比例,第 1–250 轮,0.4677630333333333
关闭重启与下界保护,三个 GP 表达式均值,更新树输出饱和比例,第 251–1000 轮,0.3931688
关闭重启与下界保护,三个 GP 表达式均值,更新树输出饱和比例,第 1001–2500 轮,0.39383440833333333
关闭重启与下界保护,三个 GP 表达式均值,更新树输出饱和比例,第 2501–5000 轮,0.39765919166666663
关闭重启与下界保护,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 1–250 轮,8.40719810075117
关闭重启与下界保护,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 251–1000 轮,0.14122197921276586
关闭重启与下界保护,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 1001–2500 轮,0.11973789755496791
关闭重启与下界保护,三个 GP 表达式均值,2-opt 平均改进（百分点）,第 2501–5000 轮,0.11580521900862996
关闭重启与下界保护,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.9207148432291666
关闭重启与下界保护,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9993930828125
关闭重启与下界保护,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9995097964409722
关闭重启与下界保护,三个 GP 表达式均值,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.9995422009895834
关闭重启与下界保护,三个 GP 表达式均值,每百轮改进全局最优的次数,第 1–250 轮,11.593333333333332
关闭重启与下界保护,三个 GP 表达式均值,每百轮改进全局最优的次数,第 251–1000 轮,0.06055555555555555
关闭重启与下界保护,三个 GP 表达式均值,每百轮改进全局最优的次数,第 1001–2500 轮,0.010277777777777778
关闭重启与下界保护,三个 GP 表达式均值,每百轮改进全局最优的次数,第 2501–5000 轮,0.004083333333333333
关闭重启与下界保护,三个 GP 表达式均值,信息素下界触发比例,第 1–250 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,信息素下界触发比例,第 251–1000 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,信息素下界触发比例,第 1001–2500 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,信息素下界触发比例,第 2501–5000 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每百轮重启次数,第 1–250 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每百轮重启次数,第 251–1000 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每百轮重启次数,第 1001–2500 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每百轮重启次数,第 2501–5000 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭重启与下界保护,三个 GP 表达式均值,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,实际强化路径的平均 gap（%）,第 1–250 轮,3.518136775208155
关闭上述三个组件,不使用 GP,实际强化路径的平均 gap（%）,第 251–1000 轮,1.4201716075444846
关闭上述三个组件,不使用 GP,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.90369870081179
关闭上述三个组件,不使用 GP,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.7486122646053973
关闭上述三个组件,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,强化路径年龄（轮）,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,强化路径年龄（轮）,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,强化路径年龄（轮）,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,强化路径年龄（轮）,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,用于历史来源的预算比例,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,用于历史来源的预算比例,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,构造路径平均 gap（%）,第 1–250 轮,23.831936972989602
关闭上述三个组件,不使用 GP,构造路径平均 gap（%）,第 251–1000 轮,8.098374497270628
关闭上述三个组件,不使用 GP,构造路径平均 gap（%）,第 1001–2500 轮,3.740714817020251
关闭上述三个组件,不使用 GP,构造路径平均 gap（%）,第 2501–5000 轮,2.5880636846203005
关闭上述三个组件,不使用 GP,2-opt 后路径平均 gap（%）,第 1–250 轮,5.492792635831847
关闭上述三个组件,不使用 GP,2-opt 后路径平均 gap（%）,第 251–1000 轮,2.1566812789614977
关闭上述三个组件,不使用 GP,2-opt 后路径平均 gap（%）,第 1001–2500 轮,1.1988135622315867
关闭上述三个组件,不使用 GP,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.9367960021052254
关闭上述三个组件,不使用 GP,构造路径最优 gap（%）,第 1–250 轮,17.165296895448922
关闭上述三个组件,不使用 GP,构造路径最优 gap（%）,第 251–1000 轮,5.392084251876762
关闭上述三个组件,不使用 GP,构造路径最优 gap（%）,第 1001–2500 轮,2.631236263197934
关闭上述三个组件,不使用 GP,构造路径最优 gap（%）,第 2501–5000 轮,1.8491126265015554
关闭上述三个组件,不使用 GP,2-opt 后本轮最优 gap（%）,第 1–250 轮,3.518136775208155
关闭上述三个组件,不使用 GP,2-opt 后本轮最优 gap（%）,第 251–1000 轮,1.4201716075444846
关闭上述三个组件,不使用 GP,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.90369870081179
关闭上述三个组件,不使用 GP,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.7486122646053973
关闭上述三个组件,不使用 GP,构造路径较优七条平均 gap（%）,第 1–250 轮,19.467144176056678
关闭上述三个组件,不使用 GP,构造路径较优七条平均 gap（%）,第 251–1000 轮,6.268444517068086
关闭上述三个组件,不使用 GP,构造路径较优七条平均 gap（%）,第 1001–2500 轮,2.965351141770348
关闭上述三个组件,不使用 GP,构造路径较优七条平均 gap（%）,第 2501–5000 轮,2.0559708680149296
关闭上述三个组件,不使用 GP,2-opt 后较优七条平均 gap（%）,第 1–250 轮,4.183190330886333
关闭上述三个组件,不使用 GP,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,1.6555338613712887
关闭上述三个组件,不使用 GP,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.9983511489347311
关闭上述三个组件,不使用 GP,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.8080036344028051
关闭上述三个组件,不使用 GP,同轮同来源内更新树输出的标准差,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,更新树输出饱和比例,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,更新树输出饱和比例,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,更新树输出饱和比例,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,更新树输出饱和比例,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,2-opt 平均改进（百分点）,第 1–250 轮,18.33914421138617
关闭上述三个组件,不使用 GP,2-opt 平均改进（百分点）,第 251–1000 轮,5.941691948004892
关闭上述三个组件,不使用 GP,2-opt 平均改进（百分点）,第 1001–2500 轮,2.5419000683564326
关闭上述三个组件,不使用 GP,2-opt 平均改进（百分点）,第 2501–5000 轮,1.65126645721574
关闭上述三个组件,不使用 GP,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.8132714640625
关闭上述三个组件,不使用 GP,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9397252994791667
关闭上述三个组件,不使用 GP,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9741054463541667
关闭上述三个组件,不使用 GP,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.98336116015625
关闭上述三个组件,不使用 GP,每百轮改进全局最优的次数,第 1–250 轮,7.7175
关闭上述三个组件,不使用 GP,每百轮改进全局最优的次数,第 251–1000 轮,1.21
关闭上述三个组件,不使用 GP,每百轮改进全局最优的次数,第 1001–2500 轮,0.14125
关闭上述三个组件,不使用 GP,每百轮改进全局最优的次数,第 2501–5000 轮,0.03
关闭上述三个组件,不使用 GP,信息素下界触发比例,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,信息素下界触发比例,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,信息素下界触发比例,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,信息素下界触发比例,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,每百轮重启次数,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,每百轮重启次数,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,每百轮重启次数,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,每百轮重启次数,第 2501–5000 轮,0.0
关闭上述三个组件,不使用 GP,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭上述三个组件,不使用 GP,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭上述三个组件,不使用 GP,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭上述三个组件,不使用 GP,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,1.9407146145299867
关闭上述三个组件,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.637873382531241
关闭上述三个组件,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.6312990853821818
关闭上述三个组件,第一个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.6297334183427821
关闭上述三个组件,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,0.0
关闭上述三个组件,第一个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.0
关闭上述三个组件,第一个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭上述三个组件,第一个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,12.91733717381648
关闭上述三个组件,第一个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,0.815919302465223
关闭上述三个组件,第一个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,0.7747470029832345
关闭上述三个组件,第一个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,0.7715959092941322
关闭上述三个组件,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,3.0082679900846476
关闭上述三个组件,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,0.6551137534000508
关闭上述三个组件,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,0.6447532212308246
关闭上述三个组件,第一个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.6429764170729025
关闭上述三个组件,第一个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,8.685363673334805
关闭上述三个组件,第一个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,0.6385752274336333
关闭上述三个组件,第一个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,0.6312796807925962
关闭上述三个组件,第一个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,0.6297025157735222
关闭上述三个组件,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.9407146145299867
关闭上述三个组件,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.637873382531241
关闭上述三个组件,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.6312990853821818
关闭上述三个组件,第一个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.6297334183427821
关闭上述三个组件,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,9.986024627243717
关闭上述三个组件,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,0.6410791942377545
关闭上述三个组件,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,0.6314136152448249
关闭上述三个组件,第一个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,0.629767824650771
关闭上述三个组件,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,2.264761312702723
关闭上述三个组件,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.638098977238029
关闭上述三个组件,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.6313189282782142
关闭上述三个组件,第一个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.62974324790917
关闭上述三个组件,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.342023328328272
关闭上述三个组件,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.0011258022899098077
关闭上述三个组件,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.0003263055382829675
关闭上述三个组件,第一个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.00028235450577336727
关闭上述三个组件,第一个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.4933368
关闭上述三个组件,第一个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.12617055
关闭上述三个组件,第一个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.12698833333333334
关闭上述三个组件,第一个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.12619295
关闭上述三个组件,第一个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,9.909068175589056
关闭上述三个组件,第一个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,0.1608036206096968
关闭上述三个组件,第一个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,0.12999196106498767
关闭上述三个组件,第一个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,0.1286177149053886
关闭上述三个组件,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.9063694640624999
关闭上述三个组件,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9993045854166667
关闭上述三个组件,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9994494033854168
关闭上述三个组件,第一个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.999455586875
关闭上述三个组件,第一个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,11.5675
关闭上述三个组件,第一个 GP 表达式,每百轮改进全局最优的次数,第 251–1000 轮,0.095
关闭上述三个组件,第一个 GP 表达式,每百轮改进全局最优的次数,第 1001–2500 轮,0.005833333333333334
关闭上述三个组件,第一个 GP 表达式,每百轮改进全局最优的次数,第 2501–5000 轮,0.0035
关闭上述三个组件,第一个 GP 表达式,信息素下界触发比例,第 1–250 轮,0.0
关闭上述三个组件,第一个 GP 表达式,信息素下界触发比例,第 251–1000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,信息素下界触发比例,第 1001–2500 轮,0.0
关闭上述三个组件,第一个 GP 表达式,信息素下界触发比例,第 2501–5000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每百轮重启次数,第 1–250 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每百轮重启次数,第 251–1000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每百轮重启次数,第 1001–2500 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每百轮重启次数,第 2501–5000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭上述三个组件,第一个 GP 表达式,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,1.6160061055273665
关闭上述三个组件,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.6806612692595801
关闭上述三个组件,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.6753913220484852
关闭上述三个组件,第二个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.6732984122403373
关闭上述三个组件,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,0.0
关闭上述三个组件,第二个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.0
关闭上述三个组件,第二个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭上述三个组件,第二个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,9.54715094271245
关闭上述三个组件,第二个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,0.8423104058693768
关闭上述三个组件,第二个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,0.821604387507475
关闭上述三个组件,第二个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,0.8181685020226043
关闭上述三个组件,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 1–250 轮,2.417659954955658
关闭上述三个组件,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 251–1000 轮,0.6963632660332614
关闭上述三个组件,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 1001–2500 轮,0.6896187360695363
关闭上述三个组件,第二个 GP 表达式,2-opt 后路径平均 gap（%）,第 2501–5000 轮,0.6871966366289453
关闭上述三个组件,第二个 GP 表达式,构造路径最优 gap（%）,第 1–250 轮,6.248544371418778
关闭上述三个组件,第二个 GP 表达式,构造路径最优 gap（%）,第 251–1000 轮,0.6811112054479005
关闭上述三个组件,第二个 GP 表达式,构造路径最优 gap（%）,第 1001–2500 轮,0.6758110699206636
关闭上述三个组件,第二个 GP 表达式,构造路径最优 gap（%）,第 2501–5000 轮,0.6736494865096925
关闭上述三个组件,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1–250 轮,1.6160061055273665
关闭上述三个组件,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 251–1000 轮,0.6806612692595801
关闭上述三个组件,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 1001–2500 轮,0.6753913220484852
关闭上述三个组件,第二个 GP 表达式,2-opt 后本轮最优 gap（%）,第 2501–5000 轮,0.6732984122403373
关闭上述三个组件,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 1–250 轮,7.21885921975753
关闭上述三个组件,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 251–1000 轮,0.683762621226533
关闭上述三个组件,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 1001–2500 轮,0.6781257827448919
关闭上述三个组件,第二个 GP 表达式,构造路径较优七条平均 gap（%）,第 2501–5000 轮,0.6758445868406141
关闭上述三个组件,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1–250 轮,1.8516710722708358
关闭上述三个组件,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 251–1000 轮,0.6807470231696012
关闭上述三个组件,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 1001–2500 轮,0.6754345541283291
关闭上述三个组件,第二个 GP 表达式,2-opt 后较优七条平均 gap（%）,第 2501–5000 轮,0.6733299262763728
关闭上述三个组件,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 1–250 轮,0.22128348692424282
关闭上述三个组件,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 251–1000 轮,0.008393369769014274
关闭上述三个组件,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 1001–2500 轮,0.008086701298146665
关闭上述三个组件,第二个 GP 表达式,同轮同来源内更新树输出的标准差,第 2501–5000 轮,0.004805679043312623
关闭上述三个组件,第二个 GP 表达式,更新树输出饱和比例,第 1–250 轮,0.8982764499999999
关闭上述三个组件,第二个 GP 表达式,更新树输出饱和比例,第 251–1000 轮,0.9681114000000001
关闭上述三个组件,第二个 GP 表达式,更新树输出饱和比例,第 1001–2500 轮,0.9681388833333333
关闭上述三个组件,第二个 GP 表达式,更新树输出饱和比例,第 2501–5000 轮,0.9785322200000001
关闭上述三个组件,第二个 GP 表达式,2-opt 平均改进（百分点）,第 1–250 轮,7.129491370005031
关闭上述三个组件,第二个 GP 表达式,2-opt 平均改进（百分点）,第 251–1000 轮,0.14594780595416917
关闭上述三个组件,第二个 GP 表达式,2-opt 平均改进（百分点）,第 1001–2500 轮,0.13198620058703128
关闭上述三个组件,第二个 GP 表达式,2-opt 平均改进（百分点）,第 2501–5000 轮,0.13097254169098946
关闭上述三个组件,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1–250 轮,0.931662578125
关闭上述三个组件,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 251–1000 轮,0.9993612645833334
关闭上述三个组件,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 1001–2500 轮,0.9994238132812499
关闭上述三个组件,第二个 GP 表达式,同一路径经 2-opt 后的边保留率,第 2501–5000 轮,0.99943298984375
关闭上述三个组件,第二个 GP 表达式,每百轮改进全局最优的次数,第 1–250 轮,10.9075
关闭上述三个组件,第二个 GP 表达式,每百轮改进全局最优的次数,第 251–1000 轮,0.060833333333333336
关闭上述三个组件,第二个 GP 表达式,每百轮改进全局最优的次数,第 1001–2500 轮,0.007916666666666667
关闭上述三个组件,第二个 GP 表达式,每百轮改进全局最优的次数,第 2501–5000 轮,0.004
关闭上述三个组件,第二个 GP 表达式,信息素下界触发比例,第 1–250 轮,0.0
关闭上述三个组件,第二个 GP 表达式,信息素下界触发比例,第 251–1000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,信息素下界触发比例,第 1001–2500 轮,0.0
关闭上述三个组件,第二个 GP 表达式,信息素下界触发比例,第 2501–5000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每百轮重启次数,第 1–250 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每百轮重启次数,第 251–1000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每百轮重启次数,第 1001–2500 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每百轮重启次数,第 2501–5000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每轮硬上界裁剪次数,第 1–250 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每轮硬上界裁剪次数,第 251–1000 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每轮硬上界裁剪次数,第 1001–2500 轮,0.0
关闭上述三个组件,第二个 GP 表达式,每轮硬上界裁剪次数,第 2501–5000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 1–250 轮,2.0613097370704865
关闭上述三个组件,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 251–1000 轮,0.649299896144129
关闭上述三个组件,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 1001–2500 轮,0.6350075841550477
关闭上述三个组件,第三个 GP 表达式,实际强化路径的平均 gap（%）,第 2501–5000 轮,0.6337191929841648
关闭上述三个组件,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1–250 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 251–1000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 1001–2500 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径优于本轮最优路径的幅度（百分点）,第 2501–5000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径年龄（轮）,第 1–250 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径年龄（轮）,第 251–1000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径年龄（轮）,第 1001–2500 轮,0.0
关闭上述三个组件,第三个 GP 表达式,强化路径年龄（轮）,第 2501–5000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,用于历史来源的预算比例,第 1–250 轮,0.0
关闭上述三个组件,第三个 GP 表达式,用于历史来源的预算比例,第 251–1000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,用于历史来源的预算比例,第 1001–2500 轮,0.0
关闭上述三个组件,第三个 GP 表达式,用于历史来源的预算比例,第 2501–5000 轮,0.0
关闭上述三个组件,第三个 GP 表达式,构造路径平均 gap（%）,第 1–250 轮,13.90709185381939
关闭上述三个组件,第三个 GP 表达式,构造路径平均 gap（%）,第 251–1000 轮,0.9257509098842364
关闭上述三个组件,第三个 GP 表达式,构造路径平均 gap（%）,第 1001–2500 轮,0.7984594270460916
关闭上述三个组件,第三个 GP 表达式,构造路径平均 gap（%）,第 2501–5000 轮,0.7891810051535717
